water_year,flow_ojinaga_nat,flow_ojinaga_reg,flow_camargo_nat,flow_amistad_nat,flow_amistad_reg,flow_lvsdsr_nat,conchos_capture_af,capture_pct_natural,amistad_capture_af,ojinaga_reg_5yr,decade
1966,3350956.8551318822,1141966.106,8880586.444596115,6401285.089,2876041.5114902398,106264.43255055827,2208990.7491318826,65.9,3525243.57750976,654810.4670000003,1960s
1967,1838836.308563146,560687.0360000001,12826082.889141645,4234176.188000001,2792887.8818140803,140029.16962757328,1278149.272563146,69.5,1441288.3061859207,792225.8120000003,1960s
1968,3412716.700572285,866730.0610000001,10418060.996732945,6226577.084,1766093.8845715201,183302.10702566922,2545986.6395722847,74.6,4460483.19942848,800965.2658000002,1960s
1969,1258207.0954785466,1042329.8470000001,6080191.660256312,4215043.432,1198632.03695712,211981.02201150084,215877.2484785465,17.2,3016411.39504288,695832.3930000004,1960s
1970,1041317.1560458178,393113.279,6237431.720887642,4059792.467,1680020.7649574403,213662.93042875803,648203.8770458178,62.2,2379771.70204256,760543.2652000003,1970s
1971,1866376.2637948168,616301.7420000001,11468803.815373851,5006296.392,4588642.467302401,478339.9394243135,1250074.5217948167,67.0,417653.9246975994,743631.8546000002,1970s
1972,2389206.3042962826,884241.3970000001,11692152.098662551,5299773.4120000005,3041658.12375072,360867.207922213,1504964.9072962825,63.0,2258115.2882492803,689849.3532000001,1970s
1973,2455297.2145010317,782173.0079999999,11903943.880907143,6786453.409999999,2106163.3292380804,259105.87214619055,1673124.2065010318,68.1,4680290.080761919,794333.6580000002,1970s
1974,2278109.6840729746,773417.3400000001,9326621.240031531,6556779.267000001,2708711.59011552,271786.445737292,1504692.3440729745,66.1,3848067.6768844808,791836.6712000003,1970s
1975,2148958.070806818,915534.8030000001,11143621.588256497,6695167.464000001,4579402.08552192,713339.8850104279,1233423.267806818,57.4,2115765.378478081,711641.2380000001,1970s
1976,2015336.9312830241,603816.808,10206525.919891672,5421298.841,4192834.4401478404,1064484.0547590908,1411520.1232830242,70.0,1228464.4008521596,738086.5982000002,1970s
1977,1232721.7534068555,483264.2310000001,7436017.443441739,3829550.8270000005,2956418.54373024,414768.1997124002,749457.5224068554,60.8,873132.2832697607,905044.2156000003,1970s
1978,3939234.514668416,914399.8089999999,10104345.47350155,6768698.8610000005,2452428.28458144,198071.10938101023,3024834.7056684163,76.8,4316270.57641856,818282.0314000002,1970s
1979,2351403.6884681345,1608205.4270000001,12536253.379010625,7995059.878,4204971.89735616,501252.0087334234,743198.2614681344,31.6,3790087.9806438396,891618.8580000002,1970s
1980,2216877.4998725876,481723.882,8142605.568249731,6426173.886000001,2436549.7055500797,303385.5932965356,1735153.6178725876,78.3,3989624.180449921,956702.6568000002,1980s
1981,2787967.2639869726,970500.941,10445733.72841889,5623408.8440000005,4002650.1239328,451105.8795143876,1817466.3229869725,65.2,1620758.7200672007,832858.5972000002,1980s
1982,1500088.0032361238,808683.225,7703751.865664891,5729287.57,2807875.4840697604,122627.5644940237,691404.7782361238,46.1,2921412.08593024,644984.6618000002,1980s
1983,1265153.753494324,295179.511,7253537.494549266,5290531.318,1627090.3003103998,109194.56932888085,969974.242494324,76.7,3663441.0176896,644725.2346000002,1980s
1984,2816821.469152709,668835.75,9056666.864478521,6915842.726000001,2062350.6670195202,205025.04507965446,2147985.719152709,76.3,4853492.058980481,613820.9694000001,1980s
1985,1357954.8377968115,480426.74600000004,8371975.917377483,6435578.122,1848918.3011308801,156073.0008351596,877528.0917968114,64.6,4586659.82086912,603541.1666000001,1980s
1986,3183461.7008280023,815979.6149999999,10939361.081723072,8093074.717000001,2836787.4002592005,324884.9965197806,2367482.0858280025,74.4,5256287.316740801,673002.7994000001,1980s
1987,1906002.0132779535,757284.2110000001,11616813.556108654,7582732.772000001,3625063.6925664004,777645.9179111661,1148717.8022779534,60.3,3957669.0794336004,628121.8938000001,1980s
1988,2374381.151210515,642487.6749999999,10049325.460173855,5977526.972,2665176.3074592003,380635.9032574371,1731893.476210515,72.9,3312350.6645408,788885.6868000001,1980s
1989,1751683.2736865778,444431.22200000007,7158154.362488871,4829075.186000001,2488596.19795584,207084.54836939054,1307252.0516865777,74.6,2340478.988044161,1099111.9754000003,1980s
1990,3361128.722142756,1284245.711,8659898.267256178,6837690.282,2973415.04645184,384482.8033554546,2076883.011142756,61.8,3864275.2355481596,1249806.7502000001,1990s
1991,5073258.735056639,2367111.058,11921294.122425534,9662284.993,3566456.7532416,405155.7951835814,2706147.6770566385,53.3,6095828.2397584,1240645.7272000003,1990s
1992,2342979.985102246,1510758.085,10031421.16784831,7007290.814000001,4410386.87317056,539759.541714082,832221.9001022461,35.5,2596903.940829441,1224058.6006000002,1990s
1993,1954971.8453843328,596682.56,8369741.940548187,6334320.443,2110306.5113356803,239732.9412843477,1358289.2853843328,69.5,4224013.93166432,982402.1638000002,1990s
1994,552487.2976113638,361495.58900000004,5232799.486613341,4163239.063,2619333.73117152,125244.08970767423,190991.70861136378,34.6,1543905.3318284801,526069.7190000003,1990s
